Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Pclass_Age,Pclass_SibSp,Pclass_Parch,Pclass_Fare,Pclass_Sex_female,Pclass_Sex_male,Pclass_Embarked_C,Pclass_Embarked_Q,Pclass_Embarked_S,Age_SibSp,Age_Parch,Age_Fare,Age_Sex_female,Age_Sex_male,Age_Embarked_C,Age_Embarked_Q,Age_Embarked_S,SibSp_Parch,SibSp_Fare,SibSp_Sex_female,SibSp_Sex_male,SibSp_Embarked_C,SibSp_Embarked_Q,SibSp_Embarked_S,Parch_Fare,Parch_Sex_female,Parch_Sex_male,Parch_Embarked_C,Parch_Embarked_Q,Parch_Embarked_S,Fare_Sex_female,Fare_Sex_male,Fare_Embarked_C,Fare_Embarked_Q,Fare_Embarked_S,Sex_female_Sex_male,Sex_female_Embarked_C,Sex_female_Embarked_Q,Sex_female_Embarked_S,Sex_male_Embarked_C,Sex_male_Embarked_Q,Sex_male_Embarked_S,Embarked_C_Embarked_Q,Embarked_C_Embarked_S,Embarked_Q_Embarked_S
3.0,31.0,1.0,0.0,18.0,1.0,0.0,0.0,0.0,1.0,93.0,3.0,0.0,54.0,3.0,0.0,0.0,0.0,3.0,31.0,0.0,558.0,31.0,0.0,0.0,0.0,31.0,0.0,18.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,28.0,0.0,0.0,7.225,1.0,0.0,1.0,0.0,0.0,84.0,0.0,0.0,21.674999999999997,3.0,0.0,3.0,0.0,0.0,0.0,0.0,202.29999999999998,28.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.225,0.0,7.225,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,35.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0,1.0,70.0,0.0,0.0,52.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,910.0,0.0,35.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2.0,34.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,1.0,68.0,0.0,0.0,26.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,442.0,0.0,34.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3.0,15.0,0.0,0.0,8.0292,1.0,0.0,0.0,1.0,0.0,45.0,0.0,0.0,24.0876,3.0,0.0,0.0,3.0,0.0,0.0,0.0,120.43799999999999,15.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0292,0.0,0.0,8.0292,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,28.0,0.0,0.0,35.5,0.0,1.0,0.0,0.0,1.0,28.0,0.0,0.0,35.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,994.0,0.0,28.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.5,0.0,0.0,35.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3.0,8.0,3.0,1.0,21.075,1.0,0.0,0.0,0.0,1.0,24.0,9.0,3.0,63.224999999999994,3.0,0.0,0.0,0.0,3.0,24.0,8.0,168.6,8.0,0.0,0.0,0.0,8.0,3.0,63.224999999999994,3.0,0.0,0.0,0.0,3.0,21.075,1.0,0.0,0.0,0.0,1.0,21.075,0.0,0.0,0.0,21.075,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,38.0,1.0,5.0,31.3875,1.0,0.0,0.0,0.0,1.0,114.0,3.0,15.0,94.1625,3.0,0.0,0.0,0.0,3.0,38.0,190.0,1192.725,38.0,0.0,0.0,0.0,38.0,5.0,31.3875,1.0,0.0,0.0,0.0,1.0,156.9375,5.0,0.0,0.0,0.0,5.0,31.3875,0.0,0.0,0.0,31.3875,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,28.0,0.0,0.0,7.225,0.0,1.0,1.0,0.0,0.0,84.0,0.0,0.0,21.674999999999997,0.0,3.0,3.0,0.0,0.0,0.0,0.0,202.29999999999998,0.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.225,7.225,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,19.0,3.0,2.0,263.0,0.0,1.0,0.0,0.0,1.0,19.0,3.0,2.0,263.0,0.0,1.0,0.0,0.0,1.0,57.0,38.0,4997.0,0.0,19.0,0.0,0.0,19.0,6.0,789.0,0.0,3.0,0.0,0.0,3.0,526.0,0.0,2.0,0.0,0.0,2.0,0.0,263.0,0.0,0.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3.0,28.0,0.0,0.0,7.8792,1.0,0.0,0.0,1.0,0.0,84.0,0.0,0.0,23.6376,3.0,0.0,0.0,3.0,0.0,0.0,0.0,220.6176,28.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8792,0.0,0.0,7.8792,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,28.0,0.0,0.0,7.8958,0.0,1.0,0.0,0.0,1.0,84.0,0.0,0.0,23.6874,0.0,3.0,0.0,0.0,3.0,0.0,0.0,221.0824,0.0,28.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8958,0.0,0.0,7.8958,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,40.0,0.0,0.0,27.7208,0.0,1.0,1.0,0.0,0.0,40.0,0.0,0.0,27.7208,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1108.832,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.7208,27.7208,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,28.0,1.0,0.0,146.5208,1.0,0.0,1.0,0.0,0.0,28.0,1.0,0.0,146.5208,1.0,0.0,1.0,0.0,0.0,28.0,0.0,4102.5824,28.0,0.0,28.0,0.0,0.0,0.0,146.5208,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.5208,0.0,146.5208,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,28.0,0.0,0.0,7.75,1.0,0.0,0.0,1.0,0.0,84.0,0.0,0.0,23.25,3.0,0.0,0.0,3.0,0.0,0.0,0.0,217.0,28.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.75,0.0,0.0,7.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,66.0,0.0,0.0,10.5,0.0,1.0,0.0,0.0,1.0,132.0,0.0,0.0,21.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,693.0,0.0,66.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,28.0,1.0,0.0,82.1708,0.0,1.0,1.0,0.0,0.0,28.0,1.0,0.0,82.1708,0.0,1.0,1.0,0.0,0.0,28.0,0.0,2300.7824,0.0,28.0,28.0,0.0,0.0,0.0,82.1708,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.1708,82.1708,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,42.0,1.0,0.0,52.0,0.0,1.0,0.0,0.0,1.0,42.0,1.0,0.0,52.0,0.0,1.0,0.0,0.0,1.0,42.0,0.0,2184.0,0.0,42.0,0.0,0.0,42.0,0.0,52.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3.0,28.0,0.0,0.0,7.2292,0.0,1.0,1.0,0.0,0.0,84.0,0.0,0.0,21.6876,0.0,3.0,3.0,0.0,0.0,0.0,0.0,202.4176,0.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2292,7.2292,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3.0,21.0,0.0,0.0,8.05,0.0,1.0,0.0,0.0,1.0,63.0,0.0,0.0,24.150000000000002,0.0,3.0,0.0,0.0,3.0,0.0,0.0,169.05,0.0,21.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.05,0.0,0.0,8.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3.0,18.0,2.0,0.0,18.0,1.0,0.0,0.0,0.0,1.0,54.0,6.0,0.0,54.0,3.0,0.0,0.0,0.0,3.0,36.0,0.0,324.0,18.0,0.0,0.0,0.0,18.0,0.0,36.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,14.0,1.0,0.0,11.2417,1.0,0.0,1.0,0.0,0.0,42.0,3.0,0.0,33.7251,3.0,0.0,3.0,0.0,0.0,14.0,0.0,157.3838,14.0,0.0,14.0,0.0,0.0,0.0,11.2417,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2417,0.0,11.2417,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,40.0,1.0,0.0,9.475,1.0,0.0,0.0,0.0,1.0,120.0,3.0,0.0,28.424999999999997,3.0,0.0,0.0,0.0,3.0,40.0,0.0,379.0,40.0,0.0,0.0,0.0,40.0,0.0,9.475,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.475,0.0,0.0,0.0,9.475,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,27.0,1.0,0.0,21.0,1.0,0.0,0.0,0.0,1.0,54.0,2.0,0.0,42.0,2.0,0.0,0.0,0.0,2.0,27.0,0.0,567.0,27.0,0.0,0.0,0.0,27.0,0.0,21.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,28.0,0.0,0.0,7.8958,0.0,1.0,1.0,0.0,0.0,84.0,0.0,0.0,23.6874,0.0,3.0,3.0,0.0,0.0,0.0,0.0,221.0824,0.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8958,7.8958,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,3.0,1.0,2.0,41.5792,1.0,0.0,1.0,0.0,0.0,6.0,2.0,4.0,83.1584,2.0,0.0,2.0,0.0,0.0,3.0,6.0,124.7376,3.0,0.0,3.0,0.0,0.0,2.0,41.5792,1.0,0.0,1.0,0.0,0.0,83.1584,2.0,0.0,2.0,0.0,0.0,41.5792,0.0,41.5792,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,19.0,0.0,0.0,7.8792,1.0,0.0,0.0,1.0,0.0,57.0,0.0,0.0,23.6376,3.0,0.0,0.0,3.0,0.0,0.0,0.0,149.7048,19.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8792,0.0,0.0,7.8792,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,28.0,0.0,0.0,8.05,0.0,1.0,0.0,0.0,1.0,84.0,0.0,0.0,24.150000000000002,0.0,3.0,0.0,0.0,3.0,0.0,0.0,225.40000000000003,0.0,28.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.05,0.0,0.0,8.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3.0,28.0,1.0,0.0,15.5,0.0,1.0,0.0,1.0,0.0,84.0,3.0,0.0,46.5,0.0,3.0,0.0,3.0,0.0,28.0,0.0,434.0,0.0,28.0,0.0,28.0,0.0,0.0,15.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,0.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3.0,28.0,0.0,0.0,7.75,1.0,0.0,0.0,1.0,0.0,84.0,0.0,0.0,23.25,3.0,0.0,0.0,3.0,0.0,0.0,0.0,217.0,28.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.75,0.0,0.0,7.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,28.0,2.0,0.0,21.6792,0.0,1.0,1.0,0.0,0.0,84.0,6.0,0.0,65.0376,0.0,3.0,3.0,0.0,0.0,56.0,0.0,607.0176,0.0,28.0,28.0,0.0,0.0,0.0,43.3584,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6792,21.6792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3.0,18.0,1.0,0.0,17.8,1.0,0.0,0.0,0.0,1.0,54.0,3.0,0.0,53.400000000000006,3.0,0.0,0.0,0.0,3.0,18.0,0.0,320.40000000000003,18.0,0.0,0.0,0.0,18.0,0.0,17.8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,0.0,0.0,0.0,17.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,7.0,4.0,1.0,39.6875,0.0,1.0,0.0,0.0,1.0,21.0,12.0,3.0,119.0625,0.0,3.0,0.0,0.0,3.0,28.0,7.0,277.8125,0.0,7.0,0.0,0.0,7.0,4.0,158.75,0.0,4.0,0.0,0.0,4.0,39.6875,0.0,1.0,0.0,0.0,1.0,0.0,39.6875,0.0,0.0,39.6875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3.0,21.0,0.0,0.0,7.8,0.0,1.0,0.0,0.0,1.0,63.0,0.0,0.0,23.4,0.0,3.0,0.0,0.0,3.0,0.0,0.0,163.79999999999998,0.0,21.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,49.0,1.0,0.0,76.7292,1.0,0.0,1.0,0.0,0.0,49.0,1.0,0.0,76.7292,1.0,0.0,1.0,0.0,0.0,49.0,0.0,3759.7308000000003,49.0,0.0,49.0,0.0,0.0,0.0,76.7292,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.7292,0.0,76.7292,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,29.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,1.0,58.0,2.0,0.0,52.0,2.0,0.0,0.0,0.0,2.0,29.0,0.0,754.0,29.0,0.0,0.0,0.0,29.0,0.0,26.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,65.0,0.0,1.0,61.9792,0.0,1.0,1.0,0.0,0.0,65.0,0.0,1.0,61.9792,0.0,1.0,1.0,0.0,0.0,0.0,65.0,4028.648,0.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.9792,0.0,1.0,1.0,0.0,0.0,0.0,61.9792,61.9792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,28.0,0.0,0.0,35.5,0.0,1.0,0.0,0.0,1.0,28.0,0.0,0.0,35.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,994.0,0.0,28.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.5,0.0,0.0,35.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2.0,21.0,0.0,0.0,10.5,1.0,0.0,0.0,0.0,1.0,42.0,0.0,0.0,21.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,220.5,21.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,10.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
